Code,council,year_of_income,Employee income earners (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Own unincorporated business income earners - median age (years),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Investment income earners - median age (years),Total investment income ($m),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Superannuation and annuity income earners - median age (years),Total superannuation and annuity income ($m),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income earners (excl. Government pensions and allowances) - median age (years),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - p80/P20 ratio,Total income (excl. Government pensions and allowances) - p80/P50 ratio,Total income (excl. Government pensions and allowances) - p20/P50 ratio,Total income (excl. Government pensions and allowances) - p10/P50 ratio,Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners,Total income (excl. Government pensions and allowances) - income share of top 5% of earners,Total income (excl. Government pensions and allowances) - income share of top 10% of earners,Total income (excl. Government pensions and allowances) - lowest Quartile (%),Total income (excl. Government pensions and allowances) - second Quartile (%),Total income (excl. Government pensions and allowances) - third Quartile (%),Total income (excl. Government pensions and allowances) - highest Quartile (%),Persons who reported gross capital gains (no.),Total value of gross capital gains ($m),Median value of gross capital gains ($),Mean value of gross capital gains ($),Age pension - Department of Veterans' Affairs (no.),Service pension - Department of Veterans' Affairs (no.),Income support supplement - Department of Veterans' Affairs (no.),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Negative income (%),Income inadequately described or not stated (%),Median equivalised total household income (weekly) ($),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Partial income stated (%),All incomes not stated (%),
21270,Buloke Shire Council,2020,"2,697",43,124.4,"40,576","46,127",62.1,"1,216",56,50.3,"22,100","41,401",21.5,"2,532",54,16.7,417,"6,602",14.5,75,58,1.2,"8,342","15,901",1.1,"3,465",50,186.1,"43,642","53,706",6.36,1.92,0.30,0.12,0.488,6.2,19.6,31.1,31.2,26.3,24.2,18.3,267,9.6,"1,525","35,963",-,27,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21370,Campaspe Shire Council,2020,"18,685",41,970.5,"47,020","51,938",73.7,"4,458",54,71.0,"8,137","15,919",10.0,"14,496",50,117.2,166,"8,088",14.6,446,55,9.3,"10,000","20,787",1.1,"21,807",47,"1,125.8","45,203","51,625",5.01,1.78,0.36,0.12,0.458,6.1,17.8,28.7,28.9,28.7,26.0,16.3,"1,533",48.7,"2,934","31,784",6,151,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21450,Cardinia Shire Council,2020,"60,238",37,"3,583.7","53,106","59,493",82.0,"9,377",42,175.0,"10,190","18,663",7.5,"39,169",41,264.7,41,"6,758",9.1,"1,045",55,26.9,"13,329","25,734",0.9,"64,411",39,"3,881.2","52,595","60,257",4.00,1.71,0.43,0.20,0.412,5.6,16.8,27.2,22.2,27.6,29.1,21.1,"2,799",124.7,"2,836","44,562",7,225,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21610,Casey City Council,2020,"181,814",37,"10,594.5","52,717","58,271",82.8,"29,333",39,591.5,"13,417","20,166",8.5,"116,060",40,570.7,28,"4,917",7.5,"2,666",55,63.9,"12,215","23,972",0.7,"196,042",39,"11,404.2","51,167","58,172",3.90,1.69,0.43,0.22,0.404,5.5,16.5,26.9,22.5,28.8,29.6,19.1,"7,844",249.3,"2,652","31,777",4,524,195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21670,Central Goldfields Shire Council,2020,"5,099",44,243.3,"43,801","47,723",74.5,"1,053",56,16.1,"8,084","15,245",9.6,"3,679",52,18.1,142,"4,908",12.9,211,56,5.3,"18,050","25,242",2.3,"5,901",48,271.8,"40,585","46,066",5.38,1.77,0.33,0.12,0.454,5.5,17.3,28.4,32.1,31.3,24.7,11.8,375,10.9,"2,775","28,956",-,82,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21750,Colac Otway Shire Council,2020,"11,329",39,571.3,"45,992","50,431",72.1,"2,895",54,51.3,"7,491","17,720",10.8,"8,859",50,78.1,208,"8,814",15.5,258,59,6.2,"11,797","24,198",1.1,"13,301",46,681.7,"44,863","51,249",4.72,1.73,0.37,0.14,0.450,6.2,18.0,28.8,28.5,29.6,27.1,14.8,849,35.4,"4,775","41,711",4,89,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21830,Corangamite Shire Council,2020,"7,460",41,374.6,"45,175","50,210",65.2,"3,029",55,98.4,"15,647","32,499",18.5,"6,577",51,58.5,249,"8,892",14.7,178,57,4.0,"11,058","22,193",1.0,"9,482",48,516.9,"45,675","54,518",5.48,1.81,0.33,0.11,0.495,7.7,20.6,31.8,29.5,27.0,25.9,17.6,787,40.0,"3,128","50,791",-,51,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21890,Darebin City Council,2020,"86,313",36,"5,851.0","56,652","67,788",81.2,"14,785",39,336.7,"9,609","22,770",7.5,"64,066",40,444.5,138,"6,938",9.8,"1,451",58,39.3,"16,582","27,084",0.9,"90,648",38,"6,279.1","55,636","69,269",4.66,1.85,0.40,0.20,0.449,7.1,19.5,30.6,22.5,24.6,25.6,27.3,"6,595",216.8,"2,088","32,873",6,222,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22110,East Gippsland Shire Council,2020,"20,891",44,"1,058.2","43,752","50,654",70.4,"5,370",55,79.1,"7,902","14,734",10.6,"16,686",54,134.8,252,"8,077",16.3,792,59,22.2,"19,036","28,058",2.0,"25,252",50,"1,249.4","41,133","49,479",5.73,1.87,0.33,0.10,0.479,6.7,19.3,30.7,31.8,29.9,23.5,14.8,"1,838",62.8,"3,702","34,194",-,347,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22170,Frankston City Council,2020,"74,223",40,"4,550.8","54,633","61,312",81.5,"9,862",44,224.6,"12,766","22,771",6.7,"49,751",44,271.5,58,"5,457",9.8,"1,801",58,45.7,"16,693","25,374",1.3,"79,513",42,"4,837.5","52,932","60,839",4.10,1.72,0.42,0.19,0.411,5.4,16.6,27.1,22.3,27.1,28.7,22.0,"3,908",120.4,"2,708","30,797",12,528,242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
